Wed 2019-11-20 10:30:28 PM Addr IP: ::1 ljack Successfully logged. AuthCounter is 0.
Wed 2019-11-20 11:09:56 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:10:32 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:15:07 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:15:23 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:15:33 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:15:51 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:16:16 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:16:24 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:17:23 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:17:27 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:17:44 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:17:56 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:21:35 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:21:39 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:27:19 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
Wed 2019-11-20 11:27:49 PM Addr IP: ::1 ljack The file pytanie_test.txt has been uploaded.
